('https://astrea.linkeddata.es/shapes#e7929688d1eb164b8e14b2892279ac15', 'http://www.w3.org/ns/ssn/forProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#62e4557bd770113651ac5c3cd059051e', 'https://saref.etsi.org/core/hasTypicalConsumption', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#d4b02650cf9e490662853cd658f196e5', 'https://saref.etsi.org/core/hasSensingRange', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#d512df7343caf72b636a6148de5ca3a2', 'https://saref.etsi.org/core/hasPrice', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SamplerConstraint', 'http://www.w3.org/ns/sosa/madeSampling', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationConstraint', 'http://www.w3.org/ns/sosa/madeBySensor', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#04b78c84de89b65f9cae6f2645c073f6', 'https://saref.etsi.org/core/hasMeterReadingType', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isResultOfDomainConstraint', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/shacl#targetSubjectsOf')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationCollectionConstraint', 'http://www.w3.org/ns/sosa/hasFeatureOfInterest', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#e7929688d1eb164b8e14b2892279ac15', 'http://www.w3.org/ns/ssn/Deployment', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#a0eebbbea442bf34ea954dc57e7cbda8', 'https://saref.etsi.org/core/represents', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#ace866cad64db21fbfe1e4c19afe093c', 'https://saref.etsi.org/core/hasDeviceKind', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#4a0fe07d77e1568c9f6119967b7b3d3a', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#49ea869b34e204369ff722eab97eadce', 'https://saref.etsi.org/core/PowerUnit', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isHostedByRangeConstraint', 'http://www.w3.org/ns/sosa/isHostedBy', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('https://astrea.linkeddata.es/shapes#44c2e26c59181db9841becf44e7f142f', 'https://saref.etsi.org/core/isUsedFor', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#e6b95a4360fad5dd13278858dac4edd7', 'http://www.w3.org/2004/02/skos/core#narrower', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#5a85c18525f8403f2a44bb904fc90c39', 'https://saref.etsi.org/core/hasPropertyKind', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c4b64fa4bce8c5b66b94e01896c98bd1', 'https://saref.etsi.org/core/Function', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationConstraint', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c3fb6ea8abe3a615c4212b0c35aadd3c', 'http://www.w3.org/ns/sosa/madeBySampler', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#a853b04756c5e216cb6c8d8cf618ca1b', 'https://saref.etsi.org/core/profileHasPrice', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#534e4f1e38ed3f83801e375de2fc2623', 'https://saref.etsi.org/core/isExecutionOf', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservablePropertyConstraint', 'http://www.w3.org/ns/sosa/ObservableProperty', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#fcf319f0451bc10f3362d90ee1f989dd', 'http://www.w3.org/ns/ssn/implements', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeByActuatorRangeConstraint', 'http://www.w3.org/ns/sosa/madeByActuator', 'http://www.w3.org/ns/shacl#targetObjectsOf')
