('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SamplingConstraint', 'http://www.w3.org/ns/sosa/resultTime', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#04b78c84de89b65f9cae6f2645c073f6', 'https://saref.etsi.org/core/hasMeterReadingType', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/phenomenonTimeRangeConstraint', 'http://www.w3.org/ns/sosa/phenomenonTime', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('https://astrea.linkeddata.es/shapes#2d5fb0696778adab75b551779784a6e6', 'https://saref.etsi.org/core/isExecutionOf', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c7487d6bd289ebe0b23325dd9615358b', 'https://saref.etsi.org/core/Light', 'http://www.w3.org/ns/shacl#targetClass')
('https://saref.etsi.org/core/FunctionOfInterest', 'https://saref.etsi.org/core/hasCommandOfInterest', 'https://saref.etsi.org/core/CommandOfInterest')
('https://astrea.linkeddata.es/shapes#c3fb6ea8abe3a615c4212b0c35aadd3c', 'http://www.w3.org/ns/sosa/resultTime', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#1992b26d2cf2fca1c2b726764c8a4650', 'https://saref.etsi.org/core/hasCommandKind', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#e85f7f569c1b43b31809a79038a33ed0', 'http://www.w3.org/ns/ssn/hasProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#66b3bc97de3fdc57ef812d4039bd8abc', 'https://saref.etsi.org/core/GetSensingDataCommand', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Observation', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/sosa/Procedure')
('https://astrea.linkeddata.es/shapes#3f77887532cb585c30865c73c18f4a62', 'https://saref.etsi.org/core/TemperatureSensor', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ActuatablePropertyConstraint', 'http://www.w3.org/ns/sosa/ActuatableProperty', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#b76f078f2a5ae6844196e8162af1983c', 'https://saref.etsi.org/core/SmokeSensor', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#1182e4c2df7ae0de5d28b9c69f07ccad', 'https://saref.etsi.org/core/Currency', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#0a5804dbf271e1e0746c63e997fd9601', 'http://www.w3.org/2004/02/skos/core#broader', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#d1fbce9c312a4605972f5168937f0bf8', 'https://saref.etsi.org/core/GetMeterDataCommand', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#e61935f1cc0fbdc80be67c061e1cbf71', 'http://www.w3.org/ns/ssn/wasOriginatedBy', 'http://www.w3.org/ns/shacl#path')
('http://www.w3.org/ns/sosa/Actuation', 'http://www.w3.org/ns/sosa/hasUltimateFeatureOfInterest', 'http://www.w3.org/ns/sosa/FeatureOfInterest')
('https://astrea.linkeddata.es/shapes#30473415520fe3216efbfaae0150dd78', 'https://saref.etsi.org/core/DoorSwitch', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/FeatureOfInterestConstraint', 'http://www.w3.org/ns/ssn/hasProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#08ef36d09b3e80016857192d74871fae', 'https://saref.etsi.org/core/hasCommand', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c4824c54856675d123ffa7f31ec15b71', 'http://www.w3.org/2004/02/skos/core#broader', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/FeatureOfInterestConstraint', 'http://www.w3.org/ns/sosa/hasSample', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#0a5804dbf271e1e0746c63e997fd9601', 'https://saref.etsi.org/core/isUsedFor', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#08ef36d09b3e80016857192d74871fae', 'https://saref.etsi.org/core/isFunctionOfInterestOf', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationCollectionConstraint', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/shacl#path')
